الرقم,السؤال,الجواب,Family_Law_Category
11,متى تجب النفقة للزوجة؟,"تجب النفقة للزوجة بمجرد إبرام عقد الزواج الصحيح، شريطة أن تُمكّن نفسها للزوج حقيقةً (بإتمام العلاقة الزوجية) أو حكمًا (بغياب عذر شرعي يمنع ذلك)، وفقًا للمادة 51 من نظام الأحوال الشخصية. ",Alimony and Maintenance 
12,متى يسقط حق الزوجة في النفقة؟,"يسقط حق الزوجة في النفقة إذا منعت نفسها عن الزوج، أو امتنعت عن الانتقال إلى بيت الزوجية، أو المبيت فيه، أو امتنعت من السفر مع الزوج دون عذر مشروع، وفقًا لأحكام القانون السعودي. ",Alimony and Maintenance 
13,هل تستحق المطلقة نفقة بعد الطلاق؟,"تستحق المعتدة من طلاق رجعي النفقة حتى انتهاء عدتها، أما المعتدة من طلاق بائن فلا تستحق النفقة إلا إذا كانت حاملًا، فتنفق حتى تضع حملها. ",Alimony and Maintenance 
14,هل للمعتدة من وفاة زوجها نفقة؟,"لا تستحق المعتدة من الوفاة نفقة، إلا إذا كانت حاملًا، فتنفق من مال الحمل، أو على من يرثه إن لم يكن له مال. ",Alimony and Maintenance 
15,هل يمكن للزوجة المطالبة بالنفقة عن مدة سابقة؟,"نعم، يحق للزوجة المطالبة بالنفقة عن مدة سابقة  لكن أي مطالبة بنفقة عن فترة مضى عليها أكثر من سنتين قبل رفع الدعوى تسقط ولا تنظرها المحكمة. ",Alimony and Maintenance 
16,على من تجب نفقة الأولاد؟,"تجب نفقة الأولاد على الأب منفردًا إذا كان موسرًا أو قادرًا على التكسب، وفق القانون السعودي.",Alimony and Maintenance 
17,حتى متى تجب نفقة الأولاد؟,"تجب نفقة الابن حتى يصل إلى الحد الذي يقدر فيه أمثاله على التكسب، وللبنت حتى تتزوج، وفق أحكام القانون السعودي.",Alimony and Maintenance 
18,ماذا لو امتنع الأب عن الإنفاق على أولاده؟,"إذا كان الأب موسرًا وامتنع عن الإنفاق، يمكن للمحكمة إصدار حكم تنفيذي يتيح اقتطاع النفقة مباشرة من راتبه أو أي دخل له، وفقًا لأحكام النظام الأساسي للتنفيذ. وإذا لم يكن له مال يمكن الإنفاق منه، تتولى الأم الإنفاق إن كانت موسرة، وإلا فينفق من تجب عليه النفقة بعد الأب، وتكون نفقة الأب دينًا على الأب يرجع به المنفق إذا نوى الرجوع.",Alimony and Maintenance 
19,هل تسقط نفقة الأولاد إذا أنفق عليهم غير الأب؟,"نعم، إذا أنفق عليهم شخص آخر دون نية الرجوع على الأب، تسقط النفقة عن الأب، وفق القانون السعودي.",Alimony and Maintenance 
20,هل يجب على الأب دفع أجرة إرضاع طفله؟,"نعم، إذا تعذر على الأم إرضاعه أو لم تكن زوجته، يجب على الأب دفع أجرة الإرضاع، وتعد من النفقة الواجبة، وفق القانون السعودي.",Alimony and Maintenance 
21,هل تجب النفقة على الوالدين؟,"نعم، إذا كان الوالدان غير موسرين، يجب على الأولاد الموسرين الإنفاق عليهما بقدر إرثهم منهما، وفق أحكام القانون السعودي.",Alimony and Maintenance 
22,هل يحق للابن المطالبة بإعانة إخوته في نفقة والديه؟,"نعم، إذا أنفق الابن على والديه ولم ينوِ التبرع، فله الرجوع على إخوته بما زاد عن نصيبه، وفق القانون السعودي.",Alimony and Maintenance 
23,هل تسقط نفقة الوالدين بمضي المدة؟,"لا، ولكن لا تسمع دعوى الرجوع بالنفقة عن مدة تزيد على 180 يومًا من تاريخ إقامة الدعوى، وفق القانون السعودي.",Alimony and Maintenance 
24,هل تجب النفقة على الأقارب؟,"نعم، تجب النفقة لكل مستحق للنفقة غير قادر على التكسب، على وارثيه الموسرين وفق أنصبتهم في الإرث، وفق أحكام القانون السعودي.",Alimony and Maintenance 
25,ما الأولوية في الإنفاق عند تعدد المستحقين؟,"عند تعدد المستحقين للنفقة، تحدد أولويات الإنفاق كالتالي: تقدم نفقة الزوجة (بما في ذلك المعتدة من الطلاق الرجعي أثناء العدة)، ثم نفقة الأولاد (بما في ذلك نفقة الإرضاع إن وجدت)، ثم نفقة الوالدين إذا كانا غير موسرين، ثم نفقة الأقارب الأقرب فالأقرب من حيث القرابة، وفق أنصبتهم في الإرث إذا كانوا موسرين. إذا لم يكن هناك كفاية مالية لتغطية جميع النفقات، يقوم القاضي بتقدير الأولويات بناءً على الظروف والاحتياجات، مع مراعاة الأحكام القانونية.",Alimony and Maintenance 
26,متى تسقط نفقة القريب؟,"تسقط نفقة القريب إذا لم ينفق عليه من وجبت عليه النفقة ولم يطالب بها خلال المدة القانونية المحددة، أو إذا لم يُقدم المستحق دعوى للمطالبة بالنفقة خلال 180 يومًا من تاريخ إقامة الدعوى،  أو إذا أصبح القريب المستحق قادرًا على التكسب أو توفرت له موارد مالية تجعله غير بحاجة للنفقة.",Alimony and Maintenance 
27,هل يمكن إلزام الزوج بالنفقة قبل إثبات دعوى الطلاق؟,"نعم، يمكن إلزام الزوج بالنفقة قبل إثبات دعوى الطلاق، حيث يمكن للمحكمة الحكم بنفقة مؤقتة للزوجة أثناء نظر دعوى الطلاق، وذلك لضمان استمرار حقوقها المالية حتى يتم الفصل في الدعوى. ",Alimony and Maintenance 
28,هل يجوز تنفيذ حكم النفقة بأثر رجعي؟,"نعم، يجوز تنفيذ حكم النفقة بأثر رجعي، ولكن لا يجوز المطالبة بها عن مدة تزيد على سنتين سابقة لإقامة الدعوى. ",Alimony and Maintenance 
29,هل النفقة تعتبر من الديون التي لا تقبل التأجيل؟,"نعم، النفقة تُعتبر دينًا ممتازًا مقدمًا على باقي الديون، مما يعني أنها تُدفع على الفور دون تأجيل طالما ثبتت الحاجة وحضر من يجب عليه الإنفاق. ",Alimony and Maintenance 
30,هل يمكن إجبار المنفق على الدفع مباشرة؟,"نعم، يمكن إجبار المنفق على دفع النفقة مباشرة إذا ثبتت مسؤوليته عن النفقة وامتنع عن الدفع رغم قدرته المالية، حيث يمكن للمحكمة إصدار حكم تنفيذي يتيح التنفيذ الجبري، وفق النظام الأساسي للتنفيذ. ",Alimony and Maintenance 
31,ما حكم الزوج الذي يربط دفع النفقة بالسماح له بزيارة أبنائه؟,"حق النفقة هو حق مستقل عن حق الزيارة، ويجب على الزوج دفع النفقة لأبنائه بغض النظر عن حقه في زيارة أبنائه. ",Alimony and Maintenance 
32,كيف يتم التعامل مع امتناع الأب عن دفع النفقة بحجة فقره؟,"يتم التحقق من حالة الأب المالية من قبل المحكمة من خلال تقديم الأدلة المالية، فإذا ثبت إعساره الحقيقي تنتقل مسؤولية النفقة إلى من يليه في الأولوية، وإذا تبين أنه موسر يمكن للمحكمة إجباره على الدفع من خلال التنفيذ الجبري. ",Alimony and Maintenance 
33,هل يحق للزوجة طلب زيادة النفقة في حال ارتفاع تكاليف المعيشة؟,"نعم، يحق للزوجة طلب زيادة النفقة إذا طرأت تغييرات في ظروفها المالية أو الاجتماعية، مثل ارتفاع تكاليف المعيشة. ",Alimony and Maintenance 
34,كيف تتعامل المحكمة مع تهرب الزوج من دفع النفقة؟,"إذا ثبت تهرب الزوج من دفع النفقة رغم قدرته المالية، يمكن للمحكمة اللجوء إلى الجهات التنفيذية لإجباره على السداد، بما في ذلك الحجز على ممتلكاته أو الاستقطاع من دخله، وفق النظام الأساسي للتنفيذ. ",Alimony and Maintenance 
35,هل تسقط نفقة الأبناء البالغين؟,"نعم، تسقط نفقة الأبناء البالغين إذا ثبت أنهم قادرون على التكسب ولا توجد ظروف تمنعهم من ذلك. ",Alimony and Maintenance 
36,هل يجوز للزوجة المطالبة بنفقة عن مدة لم تكن فيها عند زوجها؟,لا يجوز للزوجة المطالبة بنفقة عن مدة لم تكن مقيمة في بيت الزوجية دون عذر مشروع.,Alimony and Maintenance 
37,هل تعتبر مصاريف التعليم جزءًا من النفقة الواجبة على الزوج؟,"نعم، قد تعتبر مصاريف التعليم جزءًا من النفقة الواجبة على الزوج إذا كانت الزوجة غير قادرة على تحمل تكاليف تعليمها وكان العرف يدعم ذلك. ",Alimony and Maintenance 
38,هل تشمل النفقة مصاريف العلاج والدواء؟,"نعم، تشمل النفقة مصاريف العلاج والدواء خصوصاً في العلاجات الضرورية التي لا غنى عنها لحفظ صحتها. ",Alimony and Maintenance 
39,"إذا كانت الزوجة تملك مصدر دخل، هل يسقط حقها في النفقة؟","لا، لا يسقط حق الزوجة في النفقة حتى لو كانت تملك مصدر دخل، طالما استمر عقد الزواج ولم تمنع نفسها عن الزوج دون عذر مشروع. ",Alimony and Maintenance 
40,هل يحق للزوجة طلب نفقة أعلى إذا كان الزوج ميسور الحال؟,"نعم، يحق للزوجة طلب نفقة أعلى إذا تغيرت الظروف المالية للزوج وأصبح ميسورًا. ",Alimony and Maintenance 
41,هل يمكن للزوجة إثبات عدم إنفاق الزوج عليها بشهادة الشهود؟,"نعم، يمكن للزوجة إثبات عدم الإنفاق بشهادة شهود عدول، بشرط أن تكون الشهادات موثوقة ومدعومة بأدلة مثل الفواتير أو الوثائق، وفق قانون الإثبات الشرعي. ",Alimony and Maintenance 
42,ماذا تفعل الزوجة إذا امتنع الزوج عن دفع النفقة رغم صدور حكم قضائي؟,"يمكن للزوجة اللجوء إلى محكمة التنفيذ لاتخاذ إجراءات مثل الحجز على راتب الزوج أو أملاكه، وفق النظام الأساسي للتنفيذ. ",Alimony and Maintenance 
43,هل تؤثر ديون الزوج على التزامه بدفع النفقة؟,"لا، لا تؤثر ديون الزوج على التزامه بدفع النفقة، فالنفقة تُعتبر دينًا ممتازًا مقدمًا على سائر الديون. ",Alimony and Maintenance 
44,هل يحق للزوجة التنازل عن نفقتها ثم الرجوع للمطالبة بها؟,"لا، لا يحق للزوجة الرجوع للمطالبة بالنفقة بعد تنازلها عنها إذا كان التنازل برضاها الحرة، وفق القوانين العامة للالتزامات. ",Alimony and Maintenance 
45,كيف يتم تحديد مقدار النفقة عند حدوث نزاع بين الزوجين؟,"تأخذ المحكمة بعين الاعتبار دخل الزوج، مستوى معيشة الزوجة السابقة، واحتياجاتها الأساسية. ",Alimony and Maintenance 
46,هل يحق للزوجة رفع دعوى نفقة مستقلة عن دعوى الطلاق؟,"نعم، يحق للزوجة رفع دعوى نفقة مستقلة عن دعوى الطلاق طالما استمر الزواج. ",Alimony and Maintenance 
47,هل يحق للزوجة طلب النفقة حتى لو لم تكن تعيش مع زوجها في نفس المسكن؟,"نعم، يحق للزوجة طلب النفقة حتى لو لم تكن تعيش مع زوجها إذا كان لديها سبب شرعي وعذر مشروع للعيش منفصلة.",Alimony and Maintenance 
48,هل يحق للزوج خصم ديونه على زوجته من نفقتها؟,"لا، لا يحق للزوج خصم ديونه على زوجته من نفقتها، فالنفقة واجبة بصرف النظر عن ديون الزوج. ",Alimony and Maintenance 
49,هل يحق للزوجة المطالبة بنفقة المواصلات؟,"نعم، يحق للزوجة المطالبة بنفقة المواصلات إذا كانت بحاجة لها كجزء من متطلباتها الأساسية وكان ذلك معتادًا في مجتمعها. ",Alimony and Maintenance 
50,هل يحق للزوجة رفض استلام النفقة إن كانت أقل من الحد الكافي للمعيشة؟,"نعم، يحق للزوجة رفض استلام النفقة إذا كانت أقل من الحد الكافي للمعيشة، ويمكنها رفع دعوى للمطالبة بزيادة النفقة. ",Alimony and Maintenance 
51,هل تتوقف نفقة الابن عند بلوغه سن الرشد؟,"نعم، تتوقف نفقة الابن عند بلوغه سن الرشد إذا كان قادرًا على العمل وكسب رزقه. ",Alimony and Maintenance 
52,هل تسقط نفقة البنت بعد زواجها؟,"نعم، تسقط نفقة البنت بعد زواجها، حيث تنتقل مسؤولية الإنفاق إلى زوجها. ",Alimony and Maintenance 
53,هل يحق للأم المطالبة بالنفقة بعد وفاة الأب؟,"نعم، يحق للأم المطالبة بالنفقة إذا كانت غير موسرة، من أموال تركة الأب أو من الورثة الموسرين. ",Alimony and Maintenance 
54,"إذا حصل الابن على منحة دراسية، هل تسقط عنه النفقة؟",لا تسقط النفقة إلا إذا كانت المنحة تغطي جميع نفقاته. ,Alimony and Maintenance 
55,هل يحق للأب دفع النفقة مباشرة للأبناء دون إعطائها للأم؟,"لا، إذا كانت الحضانة مع الأم، يجب دفع النفقة لها كحاضنة. ",Alimony and Maintenance 
56,هل يحق للأب تقليل النفقة إذا تزوجت الأم بزوج آخر؟,"لا، لا يحق للأب تقليل النفقة إلا إذا ثبت أن الزوج الجديد ينفق على الأبناء فعليًا. ",Alimony and Maintenance 
57,هل يحق للأب وقف النفقة إذا رفض الابن زيارته؟,"لا، النفقة حق مستقل عن حق الزيارة، ويجب دفعها حتى لو رفض الابن الزيارة. ",Alimony and Maintenance 
58,هل تشمل النفقة شراء أجهزة إلكترونية وتعليمية للأبناء؟,"نعم، تشمل النفقة أجهزة إلكترونية إذا كانت ضرورية لتعليم الأبناء أو تربيتهم. ",Alimony and Maintenance 
59,هل يحق للأب اقتطاع جزء من النفقة في حال إسراف الأم؟,"لا، لا يحق للأب اقتطاع النفقة مباشرة، لكنه يمكنه التقدم للمحكمة لإثبات إسراف الأم وطلب إعادة النظر في النفقة. ",Alimony and Maintenance 
60,هل يشمل حق الأبناء في النفقة تأمين صحي؟,"نعم، يشمل التأمين الصحي إذا كان ضروريًا لصحة الأبناء وكان الأب قادرًا عليه. ",Alimony and Maintenance 
61,هل يجوز مطالبة الجد بنفقة الأحفاد في حال وفاة الأب؟,"نعم، يجوز مطالبة الجد إذا توفي الأب ولم يكن هناك من يعيل الأحفاد وكان الجد موسرًا. ",Alimony and Maintenance 
62,هل تجب نفقة الوالدين على جميع الأبناء أم على الابن الأكبر فقط؟,"تجب نفقة الوالدين على جميع الأبناء الموسرين بحسب قدراتهم المالية، وليس على الابن الأكبر فقط. ",Alimony and Maintenance 
63,هل يحق للأبناء تقسيم النفقة بينهم بالتساوي؟,"نعم، يحق للأبناء تقسيم النفقة بالتساوي بينهم إذا اتفقوا، بشرط أن يساهم كل واحد وفق استطاعته. ",Alimony and Maintenance 
64,"إذا كان الأب قادرًا على العمل لكنه لا يعمل، هل تسقط عنه النفقة؟","لا، لا تسقط نفقة الأب إذا كان قادرًا على العمل لكنه لا يعمل وغير موسر، وتجب على الأبناء. ",Alimony and Maintenance 
65,هل تسقط النفقة عن الأب إذا كان لديه مدخرات مالية؟,"نعم، تسقط النفقة عن الأب إذا كانت مدخراته كافية لمعيشته. ",Alimony and Maintenance 
66,هل يحق للأب طلب النفقة من الأبناء المتزوجين فقط؟,"لا، النفقة واجبة على جميع الأبناء الموسرين، سواء كانوا متزوجين أو غير متزوجين. ",Alimony and Maintenance 
67,ما الأساس القانوني لوجوب النفقة على الزوجة؟,"تستند إلى المادة 44 التي تنص على وجوب نفقة الزوجة على الزوج طالما استمر الزواج، حتى لو كانت موسرة. ",Alimony and Maintenance 
68,ما حدود النفقة التي يجب على الزوج دفعها للزوجة؟,"تشمل الطعام، الكسوة، السكن، والحاجيات الأساسية، وتُحدد حسب العرف وقدرة الزوج، وفق المادة 45. ",Alimony and Maintenance 
69,كيف يتم تحديد مقدار النفقة في حال النزاع بين الزوجين؟,"تراعي المحكمة دخل الزوج وحاجة الزوجة، وتختلف حسب سعة الزوج وظروف الزوجة، وفق المادة 46. ",Alimony and Maintenance 
70,هل يجوز دفع النفقة على شكل مبلغ نقدي فقط؟,"لا، يجوز أن تكون نقدًا أو عينًا مثل سكن أو طعام، ويُعتبر توفير المنفعة إنفاقًا، وفق المادة 47. ",Alimony and Maintenance 
71,هل يمكن زيادة النفقة أو إنقاصها بعد الحكم بها؟,"نعم، تُعدل إذا تغيرت الأحوال مثل زيادة الدخل أو الحاجة، ولا تُسمع الدعوى قبل سنة إلا في ظروف استثنائية، وفق المادة 48. ",Alimony and Maintenance 
72,متى يبدأ استحقاق الزوجة للنفقة؟,"تبدأ بمجرد عقد الزواج الصحيح إذا مكنت نفسها من الزوج حقيقـة ً أو حكماً، وفق المادة 51. ",Alimony and Maintenance 
73,متى تسقط نفقة الزوجة؟,"تسقط إذا منعت نفسها دون عذر، أو امتنعت عن الانتقال أو السفر مع الزوج دون سبب مشروع، وفق المادة 55.",Alimony and Maintenance 
74,هل يمكن تنفيذ حكم النفقة بشكل فوري؟,"نعم، يمكن الحكم بنفقة مؤقتة فورية لحين الفصل في الدعوى، ويُنفذ الحكم عبر التنفيذ الجبري إذا امتنع الزوج، وفق المادة 50. ",Alimony and Maintenance 
75,كيف تتعامل المحكمة مع الزوج الذي يتهرب من دفع النفقة؟,"إذا امتنع الزوج عن الدفع، تُجبره محكمة التنفيذ بالحجز على راتبه أو ممتلكاته، وإذا ثبت عجزه تنتقل النفقة للأقارب الموسرين، وفق النظام الأساسي للتنفيذ. ",Alimony and Maintenance 
76,هل تعتبر النفقة دينًا في ذمة الزوج؟,"نعم، النفقة دين ممتاز يقدم على الديون باستثناء النفقة الماضية التي تُعامل كدين عادي إذا لم تُطالب خلال سنتين، وفق المادة 49. ",Alimony and Maintenance 
77,من المسؤول عن نفقة الأولاد؟,"الأب مسؤول إذا لم يكن للأولاد مال وكان قادرًا على التكسب، وإذا كان معسرًا تنتقل للأقارب الموسرين. ",Alimony and Maintenance 
78,إلى متى تستمر نفقة الأولاد؟,"للابن حتى يصل سن التكسب، وللبنت حتى تتزوج، وتستمر إذا كان الابن عاجزًا عن التكسب. ",Alimony and Maintenance 
79,ماذا يحدث إذا امتنع الأب عن دفع النفقة؟,"إذا كان موسرًا وامتنع، تُجبره محكمة التنفيذ بالاستقطاع من راتبه، وإذا كان معسرًا تنتقل النفقة للأقارب الموسرين، وفق النظام الأساسي للتنفيذ. ",Alimony and Maintenance 
80,هل يمكن للأم أن تطالب بالنفقة نيابة عن أبنائها؟,"نعم، إذا كانت حاضنة، يحق لها المطالبة بنفقة الأطفال والأحكام القضائية. ",Alimony and Maintenance 
81,"إذا كانت الأم موسرة، هل تسقط النفقة عن الأب؟","لا، نفقة الأولاد واجبة على الأب حتى لو كانت الأم موسرة، وإذا كان الأب معسرًا تنتقل النفقة للأم الموسرة. ",Alimony and Maintenance 
82,هل يحق للأب تقليل النفقة إذا تزوجت الأم؟,"لا، زواج الأم لا يؤثر على نفقة الأبناء، وإذا أثبت أن الزوج الجديد ينفق على الأبناء قد تُخفض بقرار المحكمة، وفق المادة 58. ",Alimony and Maintenance 
83,هل يجوز للأب دفع النفقة مباشرة للأطفال بدلًا من الأم؟,"لا، إذا كانت الحضانة عند الأم، يجب دفع النفقة لها، وإذا أمرت المحكمة بدفعها للأطفال يجوز ذلك. ",Alimony and Maintenance 
84,هل تشمل نفقة الابن مصاريف العلاج؟,"نعم، تشمل العلاج إذا كان الأب قادرًا، وإذا كان معسرًا قد لا يُلزم بها. ",Alimony and Maintenance 
85,هل تسقط النفقة عن الابن إذا كان يعمل؟,"نعم، تسقط إذا كان الابن قادرًا على التكسب ولا يحتاجها، وتستمر إذا كان دخله غير كافٍ، وفق المادة 58/2. ",Alimony and Maintenance 
86,هل تسقط نفقة البنت إن كان الأب عاجزا عن الكسب؟,"نعم، تسقط نفقة البنت عند عجز أبيها عاجز الكسب",Alimony and Maintenance 
87,هل تجب نفقة الوالدين على جميع الأبناء؟,"نعم، تجب على الأبناء الموسرين إذا كان الوالدان محتاجين، وإذا كان أحدهم معسرًا يُوزع العبء على الموسرين، وفق المادة 62. ",Alimony and Maintenance 
88,هل يمكن للأب أن يرفع دعوى ضد أبنائه للمطالبة بالنفقة؟,"نعم، إذا امتنع الأبناء الموسرون عن الإنفاق يمكنه رفع دعوى، وإذا كان موسرًا تُرفض الدعوى، وفق المادة 62. ",Alimony and Maintenance 
89,هل تسقط النفقة عن الأب إذا كان لديه مصدر دخل؟,"نعم، تسقط إذا كان دخله كافيًا لمعيشته، وتستمر إذا كان الدخل غير كافٍ، وفق المادة 62. ",Alimony and Maintenance 
90,كيف يتم تحديد مقدار النفقة للوالدين؟,"تُحدد بناءً على دخل الأبناء وتُوزع حسب نسبة إرثهم، وتُعدل حسب حاجة الوالدين وقدرة الأبناء، وفق المادة 62. ",Alimony and Maintenance 
91,هل يمكن فرض النفقة بأمر مستعجل في المحكمة؟,"نعم، تُفرض نفقة مؤقتة إذا كانت هناك حاجة ملحة، وتُنفذ فورًا إذا أمرت المحكمة بذلك، وفق المادة 50. ",Alimony and Maintenance 
92,هل يمكن تعديل حكم النفقة بعد صدوره؟,"نعم، تُزاد أو تُنقص إذا تغيرت الأحوال، ولا تُسمع الدعوى قبل سنة إلا في ظروف استثنائية، وفق المادة 48. ",Alimony and Maintenance 
93,هل يمكن تنفيذ حكم النفقة على الزوج إذا كان خارج البلاد؟,"نعم، يُنفذ عبر الوسائل الدبلوماسية أو وكيله القانوني، وإذا لم يُنفذ تُتخذ إجراءات قانونية إضافية، وفق النظام الأساسي للتنفيذ. ",Alimony and Maintenance 
94,ما العقوبات التي يمكن أن تفرض على الزوج الممتنع عن دفع النفقة؟,"تُفرض غرامات، حجز راتب أو أملاك، أو السجن، وإذا ثبت عجزه قد يُعفى مؤقتًا، وفق النظام الأساسي للتنفيذ. ",Alimony and Maintenance 
95,هل يمكن للزوجة طلب زيادة النفقة عند ارتفاع تكاليف المعيشة؟,"نعم، تُطالب بالزيادة إذا ثبت تغير الظروف، وتُرفض إذا لم تثبت الحاجة، وفق المادة 48/1. ",Alimony and Maintenance 
96,هل يمكن المطالبة بنفقة متأخرة لم تُدفع؟,"نعم، تُطالب بمدة لا تتجاوز سنتين من إقامة الدعوى، وتُرفض إذا تجاوزت المدة دون دعوى، وفق المادة 52. ",Alimony and Maintenance 
97,هل تسقط النفقة إذا قدم الزوج دليلًا على أنه كان ينفق بالفعل؟,"نعم، تسقط إذا أثبت الإنفاق بوثائق مثل إيصالات أو شهود، وتستمر إذا لم يُثبت الإنفاق الكافي، وفق اجتهادات القضاء. ",Alimony and Maintenance 
98,هل يمكن للزوج الاتفاق مع الزوجة على مبلغ معين للنفقة خارج المحكمة؟,"نعم، يجوز للزوج والزوجة الاتفاق على مبلغ معين للنفقة خارج المحكمة طالما تم التوثيق أو الاتفاق برضاهما، لكن إذا نشأ نزاع يحق للمحكمة تعديل المبلغ. ",Alimony and Maintenance 
99,هل يمكن التنازل عن النفقة في عقد الزواج؟,"لا، لا يجوز التنازل عن النفقة مسبقًا في عقد الزواج، لأنها حق شرعي وقانوني واجب على الزوج بموجب المادة 44، إلا إذا حدث تنازل لاحق برضاها وتم توثيقه. ",Alimony and Maintenance 
100,هل تسقط النفقة إذا كانت الزوجة تعمل ولديها دخل خاص؟,"لا، النفقة لا تسقط إذا كانت الزوجة تعمل أو لديها دخل، وفق المادة 44 التي تجعل النفقة واجبة على الزوج حتى لو كانت موسرة. ",Alimony and Maintenance 
101,هل للزوجة المطلقة حق في النفقة أثناء العدة؟,"نعم، إذا كان الطلاق رجعيًا تستحق النفقة أثناء العدة، وفق المادة 53. ",Alimony and Maintenance 
102,ماذا لو كانت المطلقة بائنًا؟ هل تستحق النفقة؟,"لا، المطلقة بائنًا لا تستحق النفقة إلا إذا كانت حاملًا، فتستحق حتى تضع حملها، وفق المادة 53/2. ",Alimony and Maintenance 
103,هل تسقط نفقة المعتدة من الوفاة؟,"نعم، تسقط نفقة المعتدة من الوفاة إلا إذا كانت حاملًا، فتُصرف من مال الحمل أو من يرثه، وفق المادة 54. ",Alimony and Maintenance 
104,هل يمكن إجبار الزوج على دفع النفقة بعد انتهاء العدة؟,"لا، لا يُجبر الزوج على دفع النفقة بعد انتهاء العدة إلا إذا كان هناك التزام قضائي سابق أو اتفاق موثق يلزمه بذلك. ",Alimony and Maintenance 
105,هل يمكن المطالبة بنفقة الأطفال بعد الطلاق؟,"نعم، نفقة الأطفال مستقلة عن نفقة الزوجة وواجبة على الأب بعد الطلاق، وفق المادة 58. ",Alimony and Maintenance 
106,"إذا لم ينفق الأب على أولاده بعد الطلاق، ما الحل؟","يمكن للأم رفع دعوى لإلزامه بالنفقة، وإذا امتنع تُجبره محكمة التنفيذ بالاستقطاع من راتبه أو الحجز على ممتلكاته. ",Alimony and Maintenance 
107,هل للأم المطلقة الحق في المطالبة بمصاريف الحضانة؟,"نعم، للأم الحاضنة الحق في المطالبة بمصاريف الأطفال كجزء من النفقة الواجبة على الأب. ",Alimony and Maintenance 
